b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
1108	1233	231	243	1481	1468	300	289	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms015	Sham19Y0018197-ara1.ms25	1481	1527	183	وقال ابو عبيد في حديث--------------ه عليه السلام ليس في الجبهة ولا في النخة ولا في الكسعة صدقة قال ابو -----------------عبيدة الجبهة الخيل والكسعة الحمير والنخة الرقيق قال الكساءي وغيره في الجبهة والكسعة مثله وقال الكساءي هي النخة برفع النون وفسرها هو وغيره في مجلسه البقر العوامل قال الكساءي هذا كلام اهل تلك الناحية كانه يعني اهل الحجاز وما وراءها الي اليمن وقال الفراء النخة ان ياخذ المصدق دينارا بعد	وقال ابو عبيد في حديث النبي صلي الله عليه وسل--م ليس في الجبهة ولا-في النخة ولا في الكسعة صدقة قال ابو عبيد وحكي عن ابي عبيدة الن-----------------------------خة الرقيق وعن الكساءي انها ال----------------------------------------نخة بضم- النون وهي--------------------- البقر العوامل قال وقا---------------------------------------------------------------------------ل الفراء النخة ان ياخذ المصدق دينارا بعد	277.0	15	25	300	300	8986763693475306604	-3565710312814550837	145	404	45.29703140258789	30	Shia003895Vols-ara1	Sham19Y0018197-ara1
781	6	152	1	1032	257	203	52	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms016	Sham19Y0018197-ara1.ms24	1521	1495	186	لم تغرس وق----ال الاصمعي الصنبور النخلة تبقي منفردة ويدق اسفلها -قال ولقي رجل رجلا من العرب فساله عن نخلة فقال صنبر اسفله وعشش اعلاه---- يعني دق اسفله وقل سعفه ويبس قال ابو عبيد فشبهوه بها يقول-----------ون انه فرد ليس له ولد ولا اخ فاذا مات انقطع ذكره---- قال ابو عبيد وقول	لم تغرس قال وقال الاصمعي الصنبور النخلة تبقي منفردة ويدق اسفلها وقال اعرابي في صفة نخله----------------------- صنبر اسفله وعشش اعلاه قال يعني دق اسفله وقل سعفه ويبس قال ابو عبيدة وقول الاصمعي اعجب الي يعنون انه فرد ليس له ولد ولا اخ فاذا مات انقطع ذكره هذا قول ابي عبيد قال -	308.5	16	24	300	300	-4432874013051638012	-2460999276322923172	146	275	67.63636016845703	32	Shia003895Vols-ara1	Sham19Y0018197-ara1
36	547	6	109	408	846	78	168	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms016	Sham19Y0018197-ara1.ms26	1521	1462	96	عمي الذي منع الدينار ضاحية دينار نخة كلب وهو م------------------------------------------------------------------------------------------------------------------شهود قال ابو عبيد قال---- النبي صلي الله عليه وسلم اخرجوا صدقاتكم فان الله قد اراحكم من الجبهة والسجة والبجة وفسرها انها كانت الهة يعبدونها في الجاهلية وهذا خلاف ما جاء في الحديث الاول والتفسير في الحديث والله اعلم ايهما المحفوظ من ذلك وقال ابو عبيد في حديثه عليه السلام ان رجلا اتاه فقال يا رسول الله اني ابدع بي فاحملني قال ابو ------------------------	عمي الذي منع الدينار ضاحية دينار نخة كلب وهو مشهود فذلك باضافته الدينار الي النخة علي انه غيرها وانما اراد انه كان ياخذ دينارا عن نختهم وهي ابلهم العوامل فمنعه ذلك وقال ابو عبيد في حديث النبي صلي الله عليه وسلم حين ذكر اهل الجنة----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- فقال لا يبولون ولا يتغوطون انما هو عرق يجري من اعراضهم كالمسك قال ابو	146.0	16	26	300	300	-4432874013051638012	-2941985277960013341	74	514	18.67704200744629	18	Shia003895Vols-ara1	Sham19Y0018197-ara1
408	606	82	118	723	1230	141	243	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms032	Sham19Y0018197-ara1.ms13	1529	1525	279	وقال ابو عبيد في حديث--------------ه عليه السلام في صدقة النخل ما سقي منه بعلا ففيه العشر قال----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- الاصمعي البعل ما شرب بعروقه من الارض من غير سقي سم--اء ولا غيرها فاذا سقته السماء فهو عذي ومن البعل قول النابغة في صفة النخل والماء الطويل من الواردات الماء بالقاع تستقي باذنابها قبل استقاء الحناجر---- فاخبر انها تشرب بعروقها واراد بالاذناب	وقال--------- في حديث النبي صلي الله عليه وسل--م في صدقة النخل ما سقي منه بعلا ففيه العشر قال حدثنيه احمد بن سعيد عن ابي عبيد عن ابي النضر عن الليث بن سعد عن بكير بن عبد الله بن الاشج عن بسر بن سعيد هكذا حدثنا به في كتاب غريب الحديث وحدثنا به في كتاب الاموال بهذا الاسناد فقال فرض رسول الله صلي الله عليه وسلم الزكاة فيما سقت السماء وفي البعل وفيما سقت العيون العشر وفيما سقت السواني نصف العشر وقال ابو عبيد عن الاصمعي البعل ما شرب بعروقه من الارض من غير سقي السماء ولا غيرها فاذا سقته السماء فهو عذي ومن البعل قول النابغة في صفة النخ--------------ل من الواردات الماء بالقاع تستقي باذنابها قبل استقاء الحناجر قال فاخبر انها تشرب بعروقها وهي ---الاذناب	486.5	32	13	300	300	4275807420577179407	3587057767950307017	225	652	42.791412353515625	47	Shia003895Vols-ara1	Sham19Y0018197-ara1
1173	491	221	94	1570	994	293	190	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms035	Sham19Y0018197-ara1.ms19	1601	1550	303	علي جلال وقال ابو عبيد في حديث--------------ه عليه السلام------ في الغايط اتقوا الملاعن واعدوا النبل قال الاص--------------------------------------------------------------------------------------------------------------------------------معي اراها بضم النون وبفتح الباء ق----------ال ويقال نبلني احجارا للاستنجاء اي اعطنيها ونبلني عرقا اي اعطنيه لم يعرف منه الاصمعي غير هذا قال------ محمد بن الحسن يقول النبل النبل حجارة الاستنجاء قال ابو عبيد والمحدثون يقولون هي النبل بالفتح------ ونراها سميت نبلا لصغرها وهذا من الاضداد في كلام العرب ان يقال للعظام نبل وللصغار نبل	علي نفسه وقال ابو عبيد في حديث النبي صلي الله عليه وسلم انه قال في الغاءط اتقوا الملاعن واعدوا النبل حدثنيه احمد بن سعيد عن ابي عبيد عن محمد بن الحسن عن عيسي الحناط عن الشعبي عمن سمع النبي صلي الله عليه وسلم يقول ذلك قال ابو عبيد عن الاصمعي اراه بفت------------ح الباء وضم النون قال ويقال نبلني احجارا للاستنجاء اي اعطنيها ونبلني عرقا اي اع----------------------------طنيه قال وسمعت محمد بن الحسن يقول الن------بل حجارة الاستنجاء------------- والمحدثون يقولون ال---نبل ب--فتح النون ونراها سميت نبلا لصغرها وهذا من الاضداد في كلام العرب ان يقال للعظام نبل وللصغار نبل	518.0	35	19	300	300	-3393866829683393276	1808710351245366650	246	567	53.439151763916016	45	Shia003895Vols-ara1	Sham19Y0018197-ara1
409	722	77	144	864	949	168	191	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms060	Sham19Y0018197-ara1.ms24	1502	1495	202	وقال ابو عبيد في حديث--------------ه عليه السلام الثيب يعرب عنها لسانها والبكر تستامر في نفسها قال ابو عبيد هذا الحرف يروي في الحديث يعرب بالتخفيف و قال الفراء هو يعرب بالتشديد يقال عربت عن القوم اذا تكلمت عنهم واحتججت لهم قال ابو عبيد وكذلك الحديث الاخر في الذي قتل رجلا يقول لا اله الا الله فقال القاتل يا رسول الله انما قالها متعوذا فقال عليه السلام فهلا شققت عن قلبه فقال الرجل هل كان يبين لي ذلك شيءا فقال النبي صلي الله عليه وسلم فانما كان يعرب عما في قلبه لسانه	وقال ابو عبيد في حديث النبي صلي الله عليه وسل--م الثيب يعرب عنها لسان-----------------------ها قال ابو عبيد---------------------------------------------------- هو يعرب بالتشديد يقال عربت عن القوم اذا تكلمت عن------------هم قال--------- وكذلك الحديث في الرجل الذي قتل رجلا يقول لا اله الا ا-------------------------لله ا-----------------------------------------------------------------------------------------------------------------------نما كان يعرب عما في قلبه لسانه	341.5	60	24	300	300	-6625872440691559221	-2460999276322923172	159	469	43.07036209106445	36	Shia003895Vols-ara1	Sham19Y0018197-ara1
194	28	38	4	422	244	85	50	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms076	Sham19Y0018197-ara1.ms21	1520	1512	188	لا شناق فان------------------ الشنق ما بين الفريضتين وهو ما زاد من الابل علي الخمس الي العشر وما زاد علي العشر الي خمس عشرة يقول لا يءخذ من ذلك شء وكذلك جميع الاشناق وقال الاخطل يمدح رجلا البسيط قرم تعلق اشناق الديات به اذا المءون امرت فوقه حملا	لا شناق ولا شغار قال ابو عبيد الشنق ما بين الفريضتين وهو ما زاد من الابل علي الخمس الي العشر وما زاد علي العشر الي خمس عشرة يقول لا يءخذ من ذلك شء واحتج بقو-------------ل الاخطل----------------- قرم تعلق اشناق الديات به اذا المءون امرت فوقه حملا	334.0	76	21	300	300	5400591931512247807	1322469722428959330	146	246	76.42276763916016	39	Shia003895Vols-ara1	Sham19Y0018197-ara1
1	964	0	190	523	1184	101	233	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms085	Sham19Y0018197-ara1.ms29	1630	1533	191	وقال ابو عبيد في حديثه عليه السلام ان مسجده كان مربدا ليتيمين في حجر معاذ بن عفراء معاذ ومعوذ وعوف بنو عفراء فاشتراه منهما معوذ بن عفراء فجعله للمسلمين فناه رسول الله صلي الله عليه وسلم مسجدا قال الاصمعي- المربد كل شء حبست به الابل ولهذا قيل مربد النعم الذي بالمدينة وبه سمي مربد البصرة انما كان موضع سوق الابل وكذلك كل ما كان من غير هذه المواضع ايضا انه اذا حبست به الابل فهو مربد وانشدنا الاصمعي الطويل عواصي الا ما جعلت وراءها عصا مربد تغشي نحورا واذرعا----- يعني بالمربد ههنا عصا جعلها معترضة علي الباب تمنع الابل من الخروج	وقال ابو عبيد في حديث النبي------- ان مسجده كان مربدا ليتيمين---------------------------------------------------------------------------------------------------------------------------------- قال ابو عبيد المربد كل شء حبست به الابل واحتج بيت الشاعر------------------------------------------------------------------------------------------------------------------------------------------------------------ عواصي الا ما جعلت وراءها عصا مربد تغشي نحورا واذرعا وقال يعني بالمربد -----عصا جعلها معترضة---------- تمنع الابل من الخروج	300.0	85	29	300	300	7556023094636121315	-5302790346353276986	151	528	36.17424392700195	34	Shia003895Vols-ara1	Sham19Y0018197-ara1
375	3	76	1	993	528	201	109	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms117	Sham19Y0018197-ara1.ms17	1495	1498	474	قال الحجاج الزمارة الزانية زمر رمز قال ابو عبيد فمعني قوله هذا مثل قوله انه نهي عن مهر البغي والتفسير في الحديث ولم اسمع هذا الحرف الا فيه ----------ولا ادري من اي شء اخذ و-------------قال بعضهم الرمازة وهذا عندي خطا في هذا الموضع اما الرمازة في حديث اخر وذلك ان معناها ماخوذ من الرمز وهي التي تومء بشفتيها او بعينيها فاي كسب لها ه--هنا ينهي عنه ولا وجه للحديث الا ما قال الحجاج الزمارة قال ابو عبيد وهذا عندنا اثبت ممن خالفه انما نهي رسول الله صلي الله عليه وسلم عن كسب الزانية وبه نزل القران---- في قوله ولا تكرهوا فتياتكم علي البغاء ان اردن تحصنا لتبتغوا عرض الحياة الدنيا فهذا العرض هو الكسب وهو مهر البغي وهو الذي جاء فيه النهي ----وهو كسب الامة	قال --حجاج الزمارة الزانية-------- قال ابو عبيد---------------------------------------------------------------- ولم اسمع هذا الحرف الا في هذا الحديث ولا ادري من اي شء اخذ وقال ابو عبيد قال بعضهم الرمازة وهذا عندي خطا في هذا الموضع------------------------ وذلك ان معناها ماخوذ من الرمز وهي التي تومء بشفتيها او بعين-ها فاي كسب لها ها هنا ينهي عنه ولا وجه للحرف -الا ما قال --حجاج --زماره وهو اثبت--------- عندنا----- ممن خالفه انما نهي رسول الله صلي الله عليه وسلم عن كسب الزانية ونري ان القران نزل في قوله ولا تكرهوا فتياتكم علي البغاء ان اردن تحصنا لتبتغوا عرض الحياة الدنيا فهذا العرض هو الكسب وهو مهر البغي---- الذي جاء---- النهي فيه وهو كسب الامة	792.5	117	17	300	300	-6896852262940393924	381134785239998879	377	651	72.8110580444336	85	Shia003895Vols-ara1	Sham19Y0018197-ara1
821	712	153	143	1043	1111	199	227	true	false	-7831349301000718058	5858410471597933659	Shia003895Vols-ara1.ms127	Sham19Y0018197-ara1.ms18	1560	1484	209	وقال ابو عبيد في حديث النبي عليه السلام---------------- لا يموت لمءمن ثلاثة اولاد فتمسه النار الا تحلة القسم------------------------------------------------------------------------------------------------------------------------------------------------------------ قوله تحل- القسم يعني قول الله -------تعالي وان منكم الا واردها كان علي ربك حتما مقضيا----- فلا يردها الا بقدر ما يبر الله به قسمه فيه وفي هذا	وقال ابو عبيد في حديث النبي صلي- الله عليه وسلم انه قال لا يموت لمءمن ثلاثة اولاد فتمسه النار الا تحلة القسم قال حدثنيه احمد بن سعيد عن ابي عبيد قال حدثنيه ابو النضر عن عبد العزيز عن الزهري عن ابن المسيب عن ابي هريرة عن النبي صلي الله عليه وسلم قال ابو عبيد نري ان قوله تحلة القسم يعني قول الله تبارك وتعالي وان منكم الا واردها كان علي ربك حتما مقضيا يقول فلا يردها الا بقدر ما يبر الل---ه قسمه فيه---- هذا	358.5	127	18	300	300	-2940537449134156912	-7697651450923391174	165	407	51.35135269165039	37	Shia003895Vols-ara1	Sham19Y0018197-ara1
