b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
354	720	71	152	842	1104	172	234	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms251	Shamela0026668-ara1.ms014	1437	1412	346	فجاء ابو بكر ورسول الله صلي الله عليه وسلم---- واضع راسه علي فخذي -قد نام فقال حبست رسول الله صلي الله عليه وسلم والناس وليسوا علي ماء وليس معهم ماء قالت عاءشة فعاتبني ابو بكر وقال ما شاء الله ان يقول وجعل يطعن بيده في خاصرتي فلا يمنعني من التحرك الا مكان راس رسول الله صلي الله عليه وسلم علي ف--------------خذي فنام رسول الله صلي الله عليه وسلم حتي اصبح علي غير ماء فانزل الله تبارك وتعالي اية التيمم فقال اسيد بن الحضير ما هي- باول بركتكم يا ال ابي بكر ص قالت فبعثنا البعير الذي كنت عليه فوجدنا العقد تحته	فجاء ابو بكر -رسول الله صلي الله عليه وسلم وهو واضع راسه علي فخذي وقد نام-------------------------------------------------------------------------------------- فعاتبني-------- وقال ما شاء الله ثم -----------طعن بيده في خاصرتي فما -منعني من التحرك الا ------ان رسول الله صلي الله عليه وسلم كان واضع راسه علي فخذي فقام رسول الله صلي الله عليه وسلم حتي اصبح علي غير ماء فانزل الله عز وجل------ اية التيمم فقال اسيد بن --حضير ما هذا باول بركتكم يا ال ابي بكر-- قال- فبعثنا العبير الذي كنت عليه فوجدنا العقد تحته	591.0	251	14	300	300	6191376415306011222	4797894332418996247	269	508	68.11023712158203	59	Shamela0028107-ara1.completed	Shamela0026668-ara1
139	431	28	87	539	932	112	195	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms072	Shamela0026668-ara1.ms021	1455	1461	282	مالك------- عن زياد بن سعد عن عمرو بن مسلم عن طاووس اليماني انه قال ادركت ناسا من اصحاب رسول الله صلي الله عليه وسلم يقولون كل شء بقدر -قال طاووس وسمعت عبد الله بن عمر يقول قال رسول الله صلي الله عليه وسلم كل شء بقدر حتي العجز والكيس او الكيس والعجز----- قال الجوهري وليست هذه الزيادة يعني بها او الكيس والعجز عند------------- ابن وهب ولا القعنبي حديث مالك عن ابي الزناد عن الاعرج عن ------------------------------------------------------------------------------------------ابي هريرة -----ان رسول الله صلي الله عليه وسلم	مالك بن انس عن زياد بن سعد عن عمرو بن مسلم عن طاوس ق-------------ال ادركت ناسا من اصحاب رسول الله صلي الله عليه وسلم يقولون كل شء بقدر وقال -------سمعت عبد الله بن عمر يقول قال رسول الله صلي الله عليه وسلم كل شء بقدر حتي العجز والكيس او الكيس والعجز هكذا قال وبه ابنا الحاكم ابو احمد قال ابنا ابو الليث الفراءضي ثنا عبد الاعلي ابن حماد النرسي قال قرات علي مالك بن انس مثله اخبرنا ابو سعد ابنا ابو احمد ابنا ابو العباس السراج ثنا قتيبة بن سعيد ثنا مالك عن سمي عن ابي صالح عن ابي هريرة قال قال رسول الله صلي الله عليه وسلم	466.0	72	21	300	300	-2368308173582629091	6715155872615598084	216	521	54.126678466796875	55	Shamela0028107-ara1.completed	Shamela0026668-ara1
239	431	48	87	481	661	100	138	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms670	Shamela0026668-ara1.ms021	1397	1461	220	مالك------- عن زياد بن سعد عن عمرو بن مسلم عن طاووس اليماني انه قال ادركت ناسا من اصحاب رسول الله صلي الله عليه وسلم يقولون كل شء بقدر -قال طاووس وسمعت عبد الله بن عمر يقول قال رسول الله صلي الله عليه وسلم كل شء بقدر حتي العجز والكيس او الكيس والعجز	مالك بن انس عن زياد بن سعد عن عمرو بن مسلم عن طاوس -------------قال ادركت ناسا من اصحاب رسول الله صلي الله عليه وسلم يقولون كل شء بقدر وقال -------سمعت عبد الله بن عمر يقول قال رسول الله صلي الله عليه وسلم كل شء بقدر حتي العجز والكيس او الكيس والعجز	411.0	670	21	300	300	-5627291850261455855	6715155872615598084	172	250	88.0	45	Shamela0028107-ara1.completed	Shamela0026668-ara1
447	773	87	150	818	1200	168	242	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms260	Shamela0026668-ara1.ms025	1472	1469	265	-----------------------------------مالك عن ابن شهاب عن--------------------------------------------------------------------------------------- محمد بن جبي---------ر بن مطعم عن ابيه انه قال سمعت رسول الله صلي الله عليه وسلم قرا بالطور في المغرب مالك------- عن ابن شهاب عن عبيد الله بن عبد الله بن عتبة بن مسعود عن عبد الله بن عباس-------- ان ام الفضل بنت الحارث ص ق ب سمعته وهو يقرا والمرسلات عرفا المرسلات فقالت له يا بني لقد ذكرتني بقراءتك هذه السورة انها لاخر ما سمعت رسول الله صلي الله عليه وسلم يقرا بها في المغرب	معمر عن الزهري عن عبيد الله بن عبد الله عن ابن عباس عن امه قالت اخر ما سمعت النبي صلي الله عليه وسلم يقرا في المغرب بالمرسلات قال السراج وثنا محمد بن يحيي ابنا بشر بن عمر ثنا-------------------------------------------------------------------- مالك بن انس عن ابن شهاب عن عبيد الله بن عبد الله بن عتبة بن مسعود عن عبد الله بن عباس انه قال ان ام الفضل بنت الحارث ------سمعته ي----قرا والمرسلات عرفا--------- فقالت--- يا بني لقد ذكرتني بقراءتك هذه السورة انها لاخر ما سمعت رسول الله صلي الله عليه وسلم يقرا بها في المغرب	430.0	260	25	300	300	-1176541710040185479	-7021043578878052356	205	517	51.25725173950195	52	Shamela0028107-ara1.completed	Shamela0026668-ara1
195	1171	45	245	463	1426	102	298	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms293	Shamela0026668-ara1.ms063	1368	1435	240	مالك عن ابن شهاب عن عبيد الله بن عبد الله بن ص عتبة بن مسعود عن عبد الله بن عباس انه قال اقبلت راكبا علي اتان وانا يومءذ قد ناهزت الاحتلام ورسول الله صلي الله عليه وسلم يصلي ل-لناس بمني--------- فمررت بين يدي بعض الصف فنزلت فارسلت الاتان ترتع ودخلت في الصف فلم ينكر ذلك علي احد	مالك عن ابن شهاب عن عبيد الله بن عبد الله بن-- عتبة عن اب-----------------ن عباس---- قال اقبلت راكبا علي اتان وانا يومءذ قد ناهزت الاحتلام ورسول الله صلي الله عليه وسلم يصلي بالناس بمني الي جدار فمررت بين يدي بعض الصف فنزلت وارسلت الاتان ترتع ودخلت في الصف فلم ينكر ذلك علي احد	439.0	293	63	300	300	-5487354321269387126	2407000270497019475	189	278	86.3309326171875	45	Shamela0028107-ara1.completed	Shamela0026668-ara1
24	84	5	18	484	631	110	140	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms420	Shamela0026668-ara1.ms127	1345	1354	386	عن ابن شهاب عن عيسي بن طلحة------------- عن عبد الله بن عمرو بن العاصي انه قال وقف رسول الله صلي الله عليه وسلم للناس-------- بمني والناس يسالونه فجاءه رجل فقال له يا رسول الله لم اشعر فحلقت قبل ان انحر فقال رسول ال-له صلي الله عليه وسلم انحر ولا حرج ثم جاءه اخر فقال يا رسول الله لم اشعر فنحرت قبل ان ارمي فقال رسول الله ارم ولا حرج قال فما سءل رسول الله صلي الله عليه وسلم عن شء قدم ولا اخر الا قال افعل ولا حرج مالك عن نافع ----------------------------------------------------------------------------------------عن عبد الله بن عمر ان---------------- رسول الله ق ب صلي الله عليه وسلم	عن ابن شهاب عن عيسي بن طلحة بن عبيد الله عن عبد الله بن عمرو بن العاص -----قال وقف رسول الله صلي الله عليه وسلم في حجة الوداع بمني------- يسالونه فجاء- رجل فقال--- يا رسول الله لم اشعر فحلقت قبل ان اذبح فقا-----ل النبي صلي الله عليه وسلم اذبح ولا حرج فجاء ---اخر فقال يا رسول الله لم اشعر فنحرت قبل ان ارمي -قال---------- ارم ولا حرج قال فما سءل رسول الله صلي الله عليه وسلم عن شء قدم ولا اخر الا قال افعل ولا حرج اخبرنا السراج ثنا محمد بن يحيي ومحمد بن رافع قالا ثنا عبد الرزاق ابنا معمر عن الزهري عن عيسي بن طلحة عن عبد الله بن عمرو بن العاص قال رايت رسول الله---- صلي الله عليه وسلم	658.0	420	127	300	300	-8188914436641293617	-4421734602802392591	296	586	65.87030792236328	78	Shamela0028107-ara1.completed	Shamela0026668-ara1
817	648	168	137	1344	1295	282	274	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms294	Shamela0026668-ara1.ms149	1428	1424	286	رسول الله صلي الله عليه وسلم يقول اذا اراد احدكم الغاءط فليبدا به قبل الصلاة مالك عن زيد بن اسلم ان عمر بن الخطاب قال لا يصلين احدكم وهو ضام بين وركيه---------------------------------------------------- انتظار الصلاة والمشي اليها مالك عن ابي--------------------------------------------- الزناد ع-----------ن الاعرج عن ابي---------- هريرة ص ان--- رسول الله صلي الله عليه وسلم قال الملاءكة تصلي علي احدكم ما دام في مصلاه الذي صلي فيه ما لم يحدث الل---------هم اغفر له اللهم ارحمه قال يحيي قال ق ب مالك لا اري قوله ما لم يحدث الا الاحداث الذي ينقض الوضوء مالك عن ابي الزناد عن الاعرج عن ابي هرير-------------------------------------------------------------------------------------------------------------------------------ة ان رسول الله صلي الله عليه وسلم ش قال لا يزال احدكم في صلاة-- ما	رسول الله صلي الله عليه و--------------------------------------------------------------------سلم ا---------------------------ن احدكم في الصلاة ما كانت الصلاة هي التي تحبسه لا يمنعه ان ينقلب الي اهله الا انتظار الصلاة ابنا السراج ثنا عبد الكريم بن الهيثم ثنا ابو اليمان ابنا شعيب ثنا ابو الزناد ان عبد الرحمن الاعرج حدثه انه سمع ابا هريرة انه سمع رسول الله صلي الله عليه وسلم قال الملاءكة تصلي علي احدكم ما دام في مصلاه الذي صلي فيه ما لم يحدث فيه تقول اللهم اغفر له اللهم ارحمه ------------------اخبرنا السراج ثنا زياد بن ايوب ثنا ابن علية ثنا ايوب عن محم------------------------د عن ابي هريرة قال السراج وثنا اسحاق ابنا عبد الرزاق ح قال السراج وثنا محمد بن رافع نا عبد الرزاق ابنا معمر عن ايوب عن ابن سيرين عن ابي هريرة ان رسول الله صلي الله عليه وسلم-- قال لا يزال احدكم في صلاة ص ما	398.0	294	149	300	300	-3816599575251589179	9045393234573973424	219	786	36.38676834106445	51	Shamela0028107-ara1.completed	Shamela0026668-ara1
100	1	21	0	307	206	65	43	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms257	Shamela0026668-ara1.ms158	1457	1486	189	ادبر الشيطان -له ضراط حتي لا يسمع النداء فاذا قضي النداء اقبل حتي اذا ثوب بالصلاة ادبر حتي اذا قضي ش التثويب اقبل حتي يخطر بين المرء ونفسه يقول اذكر كذا واذكر كذا لما لم يكن يذكر ح-------تي يظل الرجل ان يدري كم صلي	ادبر الشيطان وله ضراط حتي لا يسمع الاذان فاذا قضي الاذان اقبل ف---اذا ثوب بالصلاة ادبر حتي اذا قضي-- التثويب اقبل حتي يخطر بين المرء ونفسه يقول اذكر كذا واذكر كذا -ما لم---- يذكر من قبل حتي يظل الرجل ان يدري كم صلي	337.0	257	158	300	300	708263063674093448	-4205621067262304169	148	215	87.90697479248047	33	Shamela0028107-ara1.completed	Shamela0026668-ara1
133	1157	28	241	435	1431	93	300	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms292	Shamela0026668-ara1.ms160	1382	1431	259	مالك عن اسحاق بن عبد الله بن ابي طلحة عن انس بن مالك ان جدته-- مليكة دعت رسول الله صلي الله عليه وسلم لطعام------- فاكل منه ثم قال رسول الله صلي الله عليه وسلم قوموا فلاصلي لكم قال انس فقمت الي حصير لنا قد اسود من طول ما--- لبس فنضحته ب--ماء فقام عليه رسول الله صلي الله عليه وسلم وصففت انا واليتيم وراءه والعجوز من	مالك عن اسحاق بن عبد الله بن ابي طلحة عن انس-------- ان جدته ص مليكة دعت رسول الله صلي الله عليه وسلم بطعام صنعناه فاكل منه ثم قال----------------------------- قوموا فلاصلي لكم قال انس فقمت الي حصير لنا قد اسود من طول ما قد لبس فنضحته بالماء فقام----- رسول الله صلي الله عليه وسلم وصففت انا واليتيم وراءه والعجوز من	459.5	292	160	300	300	4146582846136892332	2122987308771079725	203	316	81.96202850341797	51	Shamela0028107-ara1.completed	Shamela0026668-ara1
625	523	142	105	823	732	184	151	false	true	2519406635257786124	2107180885081576035	Shamela0028107-ara1.completed.ms291	Shamela0026668-ara1.ms175	1357	1456	181	مالك عن ------------ابي النضر مولي عمر بن عبيد الله ان ابا مرة مولي--- عقيل بن- ابي طالب اخبره انه سمع ام هانء بنت ابي طالب تقول ذهبت الي رسول الله صلي الله عليه وسلم عام الفتح فوجدته يغتسل وفاطمة ابنته تستر----ه بثوب	مالك بن انس عن سالم ابي النضر مولي عمر بن عبيد الله ان ابا مرة مولي ام هانء بنت ابي طالب اخبره انه سمع ام هانء بنت ابي طالب تقول ذهبت الي رسول الله صلي الله عليه وسلم عام الفتح وهو--- يغتسل وفاطمة------ تستر عليه بثوب	312.5	291	175	300	300	4386539778245636151	-2234127101504583143	140	218	83.02751922607422	36	Shamela0028107-ara1.completed	Shamela0026668-ara1
