b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
318	1130	69	222	582	1330	123	262	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms247	Shamela0023787-ara1.ms009	1541	1530	190	ابتداتني بلطف عن غير خبرة ثم اعقبتني جفاء عن غير ذنب- فاطمعني اولك في اخاءك واياسني اخرك من وفاءك فلا انا في اليوم مجمع لك اطراحا ولا انا في غد وانتظاره منك علي ثقة فسبحان من لو شاء كشف بايضاح الراي في امرك عن عزيمة الشك في----ك فاقمنا علي اءتلاف او افترقنا علي اختلاف	ابتداتني بلطف من غير خبرة ثم اعقبتني جفا- من غير هفوة فاطمعني اولك في اخاءك واياسني اخرك من وفاءك------------------------------------------------------------------- فسبحان من لو شاء كشف -ايضاح الراي في امرك عن عزيمة الشك في حالك فاقمنا علي اءتلاف او افترقنا علي اختلاف	344.5	247	9	300	300	-7205327083560101633	-2588127016870900998	151	269	70.63197326660156	33	Shamela0010614-ara1.completed	Shamela0023787-ara1
1134	947	224	183	1516	1218	300	237	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms073	Shamela0023787-ara1.ms010	1516	1541	243	اسحاق بن حسان بن قوهي لم يفسر البل----اغة تفسير ابن المقفع احد قط سءل ما البلاغة قال البلاغة اسم جامع لمعان تجري في وجوه كثيرة فمنها ما يكون في السكوت ومنها ما يكون في الاستماع ومنها ما يكون في الاشارة ومنها ما يكون في الاحتجاج ومنها ما يكون جوابا ومنها ما يكون ابتداء ومنها ما يكون شعرا ومنها ما يكون سجعا و-------------خطبا ومنها ما يكون رساءل فعامة ما يكون من هذه الابواب -الوحي فيها والاشارة الي	اسح-ق بن حسان-------- لم يفسر احد البلاغة تفسير ابن المقفع اذ------------------- قال البلاغة اسم----- لمعان تجري في وجوه كثيرة -منها ما يكون في السكوت ومنها ما يكون في الاستماع ومنها ما ي--------------------------------------------------------------------------------------------كون شعرا ومنها ما يكون سجعا ومنها ما يكون خطبا وربما كانت--- رساءل فعامة ما يكون من هذه الابواب فالوحي فيها والاشارة الي	414.0	73	10	300	300	1444966783277142728	5840307478302783943	193	400	60.75	40	Shamela0010614-ara1.completed	Shamela0023787-ara1
248	370	53	75	481	607	97	119	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms543	Shamela0023787-ara1.ms010	1518	1541	195	اعرابيا يسال وهو يقو-------ل رحم الله امرا لم تمج اذن-ه كلامي وقدم لنفسه معاذة من سوء مقامي فان البلاد مجدبة والحال -سيءة والعقل- زاجر ينهي عن كلامكم والفقر عاذر يحملني علي اخباركم والدعاء احد- الصدقتين فرحم الله امر-ا امر بمير او دعا بخير وقال	اعرابي ونحن برملة اللوي فقال رحم الله امرا لم تمج اذناه كلامي وقدم------ معاذه من سوء مقامي فان البلاد مجدبة والحال مسغبة والحياء زاجر يمنع من كلامكم والفقر عاذر يدعو ا--لي اخباركم والدعاء احدي الصدقتين فرحم الله امرءا امر بمير او دعا بخير وقول	327.5	543	10	300	300	-5076339627990942970	5840307478302783943	156	245	79.59183502197266	28	Shamela0010614-ara1.completed	Shamela0023787-ara1
306	1260	65	250	602	1494	127	300	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms168	Shamela0023787-ara1.ms011	1440	1494	209	عبيد الله -----------------علي عبد الملك بن مروان بعد ان اتاه براس مصعب بن الزبير ومعه ناس من وجوه بكر بن واءل فاراد ان يقعد معه علي سريره فقال له عبد الملك ما بال الناس يزعمون انك لا تشبه اباك قال والله لانا اشبه بابي من الليل بالليل والغراب بالغراب والماء بالماء ولكن ان شءت انباتك بمن لا يشبه اباه قال ومن ذاك	عبيد الله بن زياد بن ظبيان علي عبد الملك بن مروان و-------------------------------------------------------------اراد ان يقعد معه علي سريره فقال له عبد الملك ما بال العرب تزعم-- انك لا تشبه اباك قال والله لانا اشبه بابي من الليل بالليل والغراب بالغراب-------------- ولكن ان شءت -خبرتك عمن لا يشبه اباه قال -من ذاك	365.5	168	11	300	300	2959011522005461555	-8524007444207070658	163	313	66.77316284179688	39	Shamela0010614-ara1.completed	Shamela0023787-ara1
602	1	127	0	920	276	195	57	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms168	Shamela0023787-ara1.ms012	1440	1557	199	قال من لم يولد لتمام ولم تنضجه الارحام ومن ------------لم يشبه الاخوال والاعمام قال ومن ذاك قال ابن عمي سويد بن منجوف قال عبد الملك او كذلك انت يا سويد قال نعم فلما خرجا من عنده اقبل عليه ------سويد فقال وريت بك زنادي والله ما يس-------------------------------------------------رني انك كنت نقصته حرفا واحدا مما قلت له وان لي حمر النعم قال وانا والله ما يسرني بحلمك اليوم عني سود النعم	قال من ---------------لم تنضجه الارحام ولم يولد لتمام ولم يشبه الاخوال والاعمام قال ومن ذاك قال س--------ويد بن منجوف قال عبد الملك اكذا--ك انت يا سويد قال نعم فلما خرجا ---------قال عبيد الله لسويد----- وريت بك زنادي والله ما يسرني بحلمك عني حمر النعم قال سويد وانا والله ما يسرني انك---- نقصته حرفا----------------- وان ل--------------------------------------------------ي سود النعم	318.5	168	12	300	300	2959011522005461555	8600317625029483912	155	385	51.68831253051758	32	Shamela0010614-ara1.completed	Shamela0023787-ara1
1087	472	203	90	1614	953	300	177	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms061	Shamela0023787-ara1.ms015	1614	1619	459	اول البلاغة اجتماع الة البلاغة وذلك ان يكون الخطيب رابط الجاش ساكن الجوارح قليل اللحظ متخير اللفظ لا يكلم سيد الامة بكلام الامة ولا الملوك بكلام السوقة ويكون في قواه فضل التصرف في كل طبقة ولا يدقق المعاني كل التدقيق ولا ينقح الالفاظ كل التنقيح ولا يصف-ها كل التصفية ولا يهذبها غاية التهذيب ولا يفعل ذلك حتي يصادف حكيما او فيلسوفا عليما ومن قد تعود حذف فضول الكلام واسقاط مشتركات الالفاظ وقد نظر في صناعة المنطق علي جهة الصناعة والمبالغة----- لا علي جهة الاعتراض والتصفح وعلي وجه الاستطراف والتظرف---- قال ومن علم- حق المعني ان يكون الاسم	اول البلاغة اجتماع الة البلاغة وذلك ان يكون الخطيب رابط الجاش ساكن الجوارح----------- متخير اللفظ لا يكلم سيد الامة بكلام الامة ولا الملوك بكلام السوقة ويكون في قواه ----التصرف في كل طبقة ولا يدقق المعاني كل التدقيق ولا ينقح الالفاظ كل التنقيح و---يصفيها كل التصفية و---يهذبها كل-- التهذيب ولا يفعل ذلك حتي يصادف حكيما و--فيلسوفا عظيما ومن--- تعود حذف فضول الكلام واسقاط مشتركات الالفاظ و---نظر في صناعة المنطق علي جهة الصناعة والمبالغة فيها لا علي جهة --------------------------الاستطراف والتطرف لها قال واعلم ان حق المعني ان يكون الاسم	833.5	61	15	300	300	-5233399679612374251	-9027253531779104707	375	538	85.31598663330078	72	Shamela0010614-ara1.completed	Shamela0023787-ara1
1	953	0	177	586	1459	110	272	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms062	Shamela0023787-ara1.ms015	1547	1619	403	له طبقا وتلك الحال له وفقا وي---كون الاسم له لا فاضلا ولا مفضولا ولا مقصرا ولا مشتركا ولا مضمنا ويكون مع ذلك ذاكرا لما عقد عليه اول كلامه ويكون تصفحه لمصادره في وزن تصفح---ه لموارده ويكون لفظه مونقا ولهول تلك المقامات معاودا ومدار الامر علي افهام كل قوم بمقدار طاقتهم والحمل عليهم علي اقدار منازلهم وان تواتيه الاته وتتصرف معه اداته ويكون في التهمة لنفسه معتدلا وفي حسن الظن بها مقتصدا فانه ان تجاوز مقدار الحق في التهمة لنفسه ظلمها فاودعها ذلة المظلوين وان تجاوز الحق في مقدار حسن الظن بها امنها فاودعها تهاون الامن--------------------------------------------------------------ين ولكل ذلك مقدار من الشغل ولكل شغل مقدار من الوهن ولكل وهن مقدار من الجهل	له طبقا وتلك الحال له وفقا ولا يكون الاسم------ فاضلا و-----------لا مقصرا ولا مشتركا ولا مضمنا وي------------------------------------------كون تصفحه لمصادر كلامه بقدر تصفحه لموارده ويكون لفظه مونقا ومعناه نيرا واضح--------ا ومدار الامر علي افهام كل قوم بقد--ر طاقتهم والحمل عليهم علي قد--ر منازلهم وان تواتيه ال-ته وتتصرف معه اداته ويكون في التهمة لنفسه معتدلا وفي حسن الظن بها مقتصدا فانه ان تج----------------------------------------------------------------اوز الحق في مقدار حسن الظن اود-----------عها تهاون الامنين وان تجاوز بها مقدار الحق في التهمة ظلمها واودعها ذل المظلومين ولكل ذلك مقدار من الشغل ولكل شغل مقدار من الوهن ولكل وهن مقدار من الجهل	736.5	62	15	300	300	-82042737199578776	-9027253531779104707	325	653	61.71516036987305	67	Shamela0010614-ara1.completed	Shamela0023787-ara1
1379	1439	266	272	1516	1581	292	298	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms177	Shamela0023787-ara1.ms016	1559	1588	120	المنبر فارتج عليه فقال ان ابا بكر وعمر ك----انا يعدان لهذا المقام مقالا وانتم الي امام عادل احوج منكم الي امام خطيب وستاتيكم الخطب- علي وجهها	المنبر فارتج عليه فقال ان اللذين كانا قبلي كانا يعدان لهذا المقام مقالا وانتم الي امام عادل احوج منكم الي امام قاءل وستاتيكم الخطبة علي وجهها	220.5	177	16	300	300	-1536628844328231145	-5900409231226839178	97	142	84.50704193115234	20	Shamela0010614-ara1.completed	Shamela0023787-ara1
1294	1	248	0	1560	204	298	39	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms191	Shamela0023787-ara1.ms022	1567	1599	158	من صفة ---------البلاغة والفصاحة وان كانوا انما دونوه في الكتب وتذاكروه في المجالس لانه غريب فابيات من شعر العجاج وشعر الطرماح واشعار هذيل تاتي لهم مع حسن الرصف------ علي اكثر من ذلك ولو خاطب بقوله اان سالتك ثمن شكرها وشبرك انشات تطلها وتضهلها الاصمعي---------------- لظننت انه سيجهل بعض ذلك وهذا	من صفة الفصاحة والبلاغ---------ة وان كانوا فعلوا ذلك------------------------------ لانه غريب فابيات من شعر العجاج وشعر الطرماح واشعار هذيل ياتي لهم مع---- الرصف الحسن علي اكثر من ذلك ولو خاطب احد------------------------------------------------ الاصمعي بمثل هذا الكلام لظننت انه سيجهل بعضه--- وهذا	237.5	191	22	300	300	-1779041822670905712	3862785052985427138	125	297	53.19865417480469	27	Shamela0010614-ara1.completed	Shamela0023787-ara1
829	186	147	34	982	353	176	67	false	true	6856950372550636998	3980123073605773835	Shamela0010614-ara1.completed.ms209	Shamela0023787-ara1.ms033	1705	1584	146	اعاره الله -------من معونته نصيبا وافرغ عليه من محبته ذنوبا جلبت اليه المعاني وسلس له النظام------ وكان---- قد اعفي المستمع من كد التكلف واراح قارء الكتاب من علاج التفهم	اعاره الله عز وجل من معونته نصيبا وافرغ عليه من محبته ذنوبا حبب- اليه المعاني وسلس له --نظام اللفظ وكان قبل قد اعفي المستمع من كد التلطف واراح قارء الكتاب من علاج التفهم	255.5	209	33	300	300	-4136238117395777515	8444499565740172348	117	170	85.88235473632812	26	Shamela0010614-ara1.completed	Shamela0023787-ara1
